ProjectName	StationId	StationCode	LakeName	Name	FullStationName	StationTypeId	StationType	SamplePointId	Lat	Lon	PROJECT_ID	PROJECTS_STATION_ID
DCS4COP	no_info	no_info	Lysaker Elva	v/Fossum	stn2_KAS	1	Innsjo	no_info	59.9576	10.6309	12569	no_info
DCS4COP	no_info	no_info	Visterflo	v/Greåker	stn3_KAS	1	Innsjo	no_info	59.2804	11.019	12569	no_info
DCS4COP	no_info	no_info	DrammensElva	v/Hokksund	stn4_KAS	1	Innsjo	no_info	59.77493	9.9082	12569	no_info
DCS4COP	no_info	no_info	Skienselva	v/Klosterhagen Skien	stn5_KAS	1	Innsjo	no_info	59.20044	9.6051	12569	no_info
DCS4COP	no_info	no_info	Rødnesjøen	v/Kroksund	stn6_KAS	1	Innsjo	no_info	59.61211	11.591	12569	no_info
DCS4COP	no_info	no_info	Østensjøvannet	v/Nordenden (Oslo)	stn7_KAS	1	Innsjo	no_info	59.89326	10.8304	12569	no_info
DCS4COP	no_info	no_info	Krusetertjern	v/Store Ertevann	stn8_KAS	1	Innsjo	no_info	59.13289	11.5256	12569	no_info
DCS4COP	no_info	no_info	Tista	v/Tangen Brygge	stn9_KAS	1	Innsjo	no_info	59.12609	11.448	12569	no_info
DCS4COP	no_info	no_info	Tista	v/Tangen Brygge (Pos utløpFemsjøen)	ØSTETIS - Tista utløp Femsjøen	1	Innsjo	no_info	59.13254	11.4649	12569	no_info
DCS4COP	no_info	no_info	Drammensfjord	v/Utløp Dr.Elva. Strømsø	stn10_KAS	1	Innsjo	no_info	59.73267	10.2446	12569	no_info
DCS4COP	no_info	no_info	Gjersjøelva	v/utløp Gjersjøen	stn11_KAS	1	Innsjo	no_info	59.80331	10.7745	12569	no_info
DCS4COP	no_info	no_info	Fiskumvannnet (Utløp)	v/Vestfossen	stn12_KAS	1	Innsjo	no_info	59.70619	9.8309	12569	no_info
DCS4COP	no_info	no_info	Bjørkelangen	no_info	stn13_KAS	1	Innsjo	no_info	59.8292	11.4969	12569	no_info
DCS4COP	no_info	no_info	Lyseren	no_info	stn14_KAS	1	Innsjo	no_info	59.68159	11.0778	12569	no_info
DCS4COP	41806	MJR	Mjær	Mjær	MJR - Mjær	1	Innsjo	no_info	59.71944	11.0604	12569	no_info
DCS4COP	no_info	no_info	Kolbotnvannet	no_info	stn15_KAS	1	Innsjo	no_info	59.80403	10.7998	12569	no_info
DCS4COP	no_info	no_info	Østensjøvann	v/Ås	stn16_KAS	1	Innsjo	no_info	59.68859	10.829	12569	no_info
DCS4COP	no_info	no_info	Langen	no_info	stn17_KAS	1	Innsjo	no_info	59.77134	10.9297	12569	no_info
DCS4COP	no_info	no_info	Midtsjøvannet	no_info	stn18_KAS	1	Innsjo	no_info	59.7304	10.8834	12569	no_info
DCS4COP	no_info	no_info	Nærevannet	no_info	stn19_KAS	1	Innsjo	no_info	59.73128	10.9006	12569	no_info
												
